ARROUQUELAS
TAVIRA
LISBOA
ALDEIA DE ALEM
OLIVEIRA DO CASTELO
TAPADA DAS MERCES
BEIRÃ
OLIVEIRA DO HOSPITAL
EVORA
LUGAR DO LUZEIRO
CARVALHOS
ALCABIDECHE
PORTO
POVOA DO VARZIM
AGUEDA
MONSANTO
MAIA
MEM MARTINS
MIRANDELA
FUNCHAL
SAO MAMEDE DE INFESTA
BRAGA
SAMORA CORREIA
OEIRAS
GRIJÓ
SANTARÉM
PÓVOA DE VARZIM
PORTO COVO
ALVALADE
MALVEIRA SERRA
BOM SUCESSO
MOITA
GOUVEIA
BARCELOS
NOGUEIRA DO CRAVO
PONTA DELGADA - SÃO JOSE
CILHA DO CENTEIO
COIMBRA
CHAVES
ALBUFEIRA
ANTAS
CARNAXIDE
GONDOMAR
MARCO DOS PEREIROS
SEIXAL
PAREDE
GUIFÕES
AZEITAO
CORROIOS
ALMADA
PINHAL NOVO
CAMARATE
ERADA
PÓVOA DE SÃO MIGUEL
STO ANTONIO CAVALEIROS
ALCOBAÇA
BARCARENA
MALVEIRA
MONTIJO
TORRES NOVAS
AVINTES
MATOSINHOS
MACEIRA
OUREM
CASTELO DE PAIVA
ESPINHO
OLIVEIRA DE AZEMEIS
S ROMÃO
LECEIA
ARAZEDE
ÁGUEDA
LINDA A VELHA
TORRES VEDRAS
SÃO JOÃO DA MADEIRA
POCARIÇA
FORJAES
AMADORA
MOURISCAS
VILA NOVA DE FAMALICÃO
COVA DA PIEDADE
SETÚBAL
VALE DE CAVALOS
CATRAIA DO SORTELHÃO
TRAVASSÓS DE BAIXO
REGADAS
LOUSÃ
PÓVOA DE SANTA IRIA
UNIÃO FREGUESIAS SOBRADO E BAIRROS
VALE DA PEDRA
S MARCOS
PORTEL
FIGUEIREDO DE ALVA
LINDA-A-VELHA
LOURINHÃ
QUINTA DA LOMBA
MEINEDO
AVEIRO
RIBEIRA BRAVA
SE
GRILO
SÃO VICENTE
BARREIRA
CASAL DO MALTA
MORTÁGUA
TAPÉUS
VILARINHO
PENAFIEL
VALE DE ESTRELA
PALMELA
VALE DE AFONSINHO
VILA DO CONDE
LEÇA DA PALMEIRA
CASCAIS
MANTEIGAS
POMBAL
VALONGO
TOMAR
UL
LAMEGO
VILA NOVA DE GAIA
VIL DE SOITO
PALMEIRA
ELVAS
VENDAS NOVAS
LORDELO
FARO
ALVERCA
CALDAS DE VIZELA
POCEIRÃO
GUIMARÃES
VENDA NOVA
AGUALVA-CACÉM
ARGONCILHE
CRUZ QUEBRADA - DAFUNDO
LAVRA
OURéM
COVILHÃ
VILA NOVA DE SÃO BENTO
MARTIRES
BENFICA
LOULÉ
MONTE DE CAPARICA
SAO PEDRO
CEPÕES PTL
ERVIDEL
MACINHATA DO VOUGA
VILAR DO MONTE
SÃO MAMEDE DE INFESTA
PENACOVA
RIO TINTO
ALDEIA DA PONTE
CANELAS VNG
SILVES
MARRAZES
ALDEIA DA MATA
VISEU
ODIVELAS
UNHOS
SANTA LUZIA
SÃO PEDRO
SÃO JOÃO DO ESTORIL
ESTORIL
SÃO DOMINGOS DE RANA
VIANA DO CASTELO
SETUBAL
AGUALVA
GUARDA
CASTRO MARIM
FÁTIMA
PARADA
CARRAZEDO - AMARES
ÉVORA
SANTA MARTA DE PORTUZELO
OURÉM
LEÇA DO BALIO
VILA REAL
OLAIAS
MAFRA
GUIA - ALBUFEIRA
PORTIMÃO
COUCINHEIRA
ALGES
FIGUEIRA DA FOZ
MARINHA GRANDE
BOUGADO S MARTINHO
SOUTELO
AVELAS DE CAMINHO
AZURVA
CASTELO BRANCO
SABARIZ
CONDEIXA A NOVA
S MAMEDE INFESTA
MOURA
PORTALEGRE
VALE DE SANTAREM
SOURE
VILA NOVA DE POIARES
SABROSA
FUNDAO
VALE DA FONTE
ABRAVESES
S MARTINHO - FUNCHAL
SERRA D EL REI
BRAGANÇA
OIS DA RIBEIRA
SÃO PEDRO DA CADEIRA
AMÊNDOA
CAXIAS
BAIRRO ALENTEJANO
CANAVIAIS
FOGUETEIRO
CACILHAS
COSTA DA CAPARICA
PONTA DELGADA
MOIMENTA DA BEIRA
VIATODOS
SÃO MARTINHO CAMPO
MONDIM DE BASTO
DAGORDA
S. ROMÃO DO CORONADO
APULIA
ESTARREJA
SALIR DE MATOS
CHARNECA DE CAPARICA
CAMPELOS
PEREIRA
LEIRIA
VILA MOREIRA
CORTES
FOLQUES
SANTO CONDESTAVEL
LISBOA CODEX
ALFRAGIDE
MONTEMOR O NOVO
MARISOL
SÃO MARCOS
BARRÔ
BUSTOS
ALANDROAL
VILA DA POVOACAO
MERCEANA
VILA NOVA DE SANTO ANDRE
SALTO
CABECAO
CHANCA
FERRO
SACAVEM
SITIO DA VARZEA
GOLEGÃ
ALMOFALA
MONTEMOR O VELHO
PEDORIDO
OLHAO
ALBURITEL
SANFINS DO DOURO
FEIRA
AROUCA
PARDILHO
MECA
BOGAS DE CIMA
ERMIDAS SADO
PESO DA REGUA
LOULE
MEIA LEGUA - PARCEIROS
PATAIAS
LAGARINHOS - GOUVEIA
PEDROGAO DO ALENTEJO
VILA REAL SANTO ANTÓNIO
SABUGUEIRO
AÇORES
PAÇO DA COMENDA
AZUREM
BORBA
ALVORNINHA
ALCANENA
TOCHA
SEIA
ALBERGARIA-A-VELHA
RIBEIRA SECA / VFC
CELORICO DA BEIRA
AREIAS
SANTA EUFEMIA LRA
OUTEIRO
SOBRAL PICHORRO
MATRIZ
FORNOS DE ALGODRES
MOITA DO BOI
MOINHO DE VENTO
GRANJA
SANTIAGO ESCOURAL
TERRUGEM SNT
VILA VERDE
FERNÃO FERRO
ARUIL
SABUGO
CARVOEIRA
SERZEDO
SANDIM
VILA COVA À COELHEIRA
MONTE CORDOVA
FELGUEIRAS
SANTOS EVOS
ALQUERUBIM
O AZEMEIS
MALCATA
DARDAVAZ
FAJOZES
ANTES
MEXILHOEIRA DA CARREGACAO
MONTE REDONDO
REFOJOS
FOLHADAL
FORTIOS
NESPEREIRA
PERRÃES
VILA FERNANDO
DAMAIA
ENTRONCAMENTO
SANTO ANTONIO DOS CAVALEIROS
PINHEIRO DE LOURES
FERMENTELOS - ÁGUEDA
TORREIRA
BUARCOS
AREIA
ALHANDRA
ARCOS DE VALDEVEZ
AVIS
CASTANHEIRA RIBATEJO
CASTRO DAIRE
CASTRO VERDE
